Floor Size(SQFT),Number of Rooms,Number of Bathroom,Cluster Label,Amount(BDT)
1600,3,4,2,80000
1057,3,2,0,18000
2700,3,3,8,104000
550,1,1,7,16000
1700,3,3,3,38000
3200,4,4,8,200000
700,2,2,3,16000
850,2,2,6,13000
3000,3,4,8,215000
2100,3,3,1,90000
2100,3,3,4,42000
1850,3,3,2,50000
3000,5,5,4,65000
10500,18,10,2,405000
1100,2,2,6,14000
400,1,1,0,15000
1850,3,4,0,35000
1500,2,3,8,115000
1250,3,2,4,24000
2900,3,3,2,60000
900,2,2,7,20000
1200,3,3,2,24000
2200,3,4,0,40000
1800,3,3,0,30000
900,3,2,6,11500
1300,3,3,4,30000
2400,3,3,2,75000
2600,4,4,2,65000
1250,2,3,7,35000
2250,3,3,4,67000
1050,3,2,6,15000
3000,3,4,8,200000
1350,3,3,4,30000
2650,5,5,4,70000
1400,3,3,2,30000
1911,3,4,4,35000
800,2,2,6,11000
1200,3,3,0,15000
650,2,2,0,11000
950,2,2,8,22000
1450,3,3,2,60000
1850,3,3,2,45000
1200,3,3,2,30000
3302,5,5,4,80000
1350,3,3,6,20000
1100,3,2,6,15000
2800,4,4,8,205000
3000,3,4,8,105000
1900,3,3,7,45000
720,2,2,9,15000
1350,3,3,4,30000
1200,3,3,0,25000
2300,3,3,8,102000
1350,3,3,6,16000
1250,3,3,0,25000
1500,3,3,5,21000
1150,3,3,0,25000
1100,3,3,6,17000
1980,3,3,2,65000
1260,3,4,9,25000
1494,3,3,2,25000
900,2,2,2,22000
550,2,2,7,13000
900,2,2,2,19000
750,2,2,9,13000
1730,3,3,7,35000
1890,3,3,2,38000
1600,3,3,4,60000
2175,3,4,4,50000
850,2,2,6,14000
2175,3,3,4,50000
1250,3,3,6,17000
1600,3,4,1,45000
850,2,2,3,20000
7500,5,6,3,305000
1100,3,3,6,19000
1100,3,3,6,18000
700,2,2,0,15000
2200,3,3,8,80000
4200,3,4,8,207000
1400,3,3,2,25000
5500,4,5,8,305000
900,2,2,5,13500
600,2,1,0,12000
3000,4,4,4,60000
650,2,2,0,11000
600,2,2,6,8000
1930,3,3,3,55000
850,2,2,6,14000
2500,3,3,2,45000
1200,3,3,9,20000
1450,3,3,4,102000
1200,3,3,9,16000
1250,3,3,8,45000
1706,4,4,7,40000
2700,3,4,3,60000
700,2,2,3,15000
1500,3,3,3,25000
1000,3,3,2,45000
750,2,2,7,23000
1372,3,3,9,18000
500,2,1,5,14000
750,2,2,3,15000
2500,3,3,8,102000
1300,3,3,5,17000
1050,2,2,2,20000
4200,4,4,8,400000
4200,4,4,8,305000
1950,3,4,2,50000
700,2,2,9,13000
1700,3,3,5,52500
650,2,2,5,14000
2400,4,4,4,75000
1100,3,2,2,21000
1750,3,4,7,33000
5800,5,5,1,206000
1400,3,3,2,50000
1600,3,3,4,60000
2100,4,4,4,36000
1500,3,3,7,30000
650,2,2,0,11000
850,2,2,7,18000
3400,4,4,8,108000
1000,2,2,7,25000
1390,3,3,7,28000
1250,3,3,1,19000
1145,3,2,9,16000
800,2,2,3,15000
900,2,2,2,19000
2250,3,4,8,100000
900,2,2,2,20000
2500,3,3,3,80000
2150,3,3,2,35000
800,2,2,9,20000
800,2,2,9,17500
1850,3,3,2,45000
4700,4,5,8,300000
1200,3,3,4,20000
1400,3,3,6,20000
2500,3,3,3,30000
1000,2,2,4,30000
1950,3,4,4,35000
2175,3,4,4,50000
2175,3,4,4,50000
2700,3,3,8,101000
550,2,1,5,11000
1200,3,3,0,21300
2450,4,4,4,45000
850,2,2,2,20000
2020,3,3,8,60000
1200,2,2,2,100000
6500,4,5,4,300000
2800,4,5,2,70000
2350,3,4,4,45000
980,3,3,6,13000
1800,3,3,2,37000
1250,3,3,1,30000
1000,2,2,6,15000
650,2,2,6,12000
3000,3,4,1,104000
1700,3,4,3,50000
1700,3,4,3,50000
1700,3,4,3,50000
1700,3,4,3,50000
900,2,2,2,23000
1600,3,4,2,50000
2495,5,4,3,60000
1450,3,3,2,25000
1100,3,3,3,40000
2268,3,4,3,62000
1553,3,3,6,22000
3400,4,4,8,105000
2200,3,3,3,55000
2150,3,4,4,35000
1350,3,3,7,30000
4000,4,4,8,205000
2500,3,3,8,103000
1800,3,4,3,55000
1385,3,4,8,40000
1500,3,3,7,35000
650,2,1,9,12000
800,2,2,2,13000
1200,3,3,0,21000
1100,2,2,2,20000
2000,2,2,2,30000
1200,3,3,3,20000
1050,3,2,6,15000
1050,3,2,6,15000
3100,4,4,8,105000
1200,3,3,5,20000
5200,5,4,8,302000
800,2,2,2,18000
600,2,1,2,11000
2500,4,5,8,70000
2730,3,4,1,70000
6000,6,8,1,405000
1600,4,4,2,35000
1300,3,3,5,26000
1785,3,3,2,38000
1850,3,3,2,42000
900,2,2,7,22000
800,2,2,6,12500
650,2,2,0,11000
1450,3,4,6,20000
2300,3,4,2,75000
820,2,2,6,10000
650,2,1,6,11000
800,2,1,2,16000
800,2,2,9,15000
1600,3,4,2,28000
1500,3,3,7,32000
1500,3,3,7,32000
1500,3,3,7,32000
2465,4,4,3,75000
1300,3,3,1,22000
750,2,2,6,13000
1350,3,3,7,31000
800,2,2,7,16000
9000,10,9,2,106000
2100,3,4,3,60000
1650,3,3,2,35000
1500,3,3,7,32000
1350,4,4,6,20000
1100,3,2,9,19000
870,2,2,7,20000
2000,3,3,2,32000
1600,4,4,5,30000
1550,4,3,5,30000
5400,4,5,8,305000
1800,3,4,4,25000
700,2,2,4,14000
975,3,2,6,15000
1600,3,4,2,28000
1050,3,3,5,14000
550,2,1,7,16000
1500,3,3,2,45000
900,3,3,2,30000
1500,3,4,2,50000
1100,3,3,0,16000
1850,3,3,4,30000
1435,3,3,3,40000
2200,3,3,2,70000
650,2,2,0,13000
600,2,2,6,10000
2900,4,4,2,80000
1200,3,3,9,20000
2000,3,3,2,80000
1900,3,3,3,45000
1800,3,3,2,30000
550,1,1,6,12000
1500,3,3,6,22000
1500,3,3,2,35000
950,3,2,0,15000
1200,3,3,6,20000
25900,21,10,1,2100000
2700,3,3,3,60000
1700,3,3,4,30000
1050,3,2,4,27000
1200,3,3,2,25000
1200,4,4,0,22000
1650,3,3,4,22000
500,1,1,6,8000
950,1,3,0,17000
850,2,2,6,14000
1700,3,3,6,35000
650,2,1,7,14000
1600,3,3,7,40000
1550,3,3,2,40000
1665,3,4,2,55000
650,2,2,0,10000
800,2,2,2,19100
1100,3,3,0,18000
1200,2,2,2,100000
850,2,2,5,15000
1200,3,3,0,16000
1600,3,3,2,40000
750,2,2,0,14000
1872,3,3,6,26000
1500,3,3,4,26000
1150,3,3,0,21000
800,2,2,4,21500
900,2,2,2,19000
1400,2,3,4,25000
1500,3,3,2,25000
1654,3,3,0,15000
950,3,3,3,22000
1150,3,3,0,21000
1700,3,3,4,30000
1400,3,2,7,32000
800,2,2,4,20000
3095,4,5,7,45000
1700,3,4,3,25000
2500,3,3,1,101000
850,2,2,7,22000
8000,4,5,1,305000
2200,3,3,1,70000
1100,3,3,0,18000
650,2,2,0,13000
2200,3,3,1,70000
3200,4,4,8,200000
3200,4,4,8,200000
1500,3,3,2,30000
1400,3,3,3,27000
900,2,2,7,25000
1370,3,4,2,30000
1600,3,4,2,65000
750,2,1,6,10000
900,3,3,7,30000
2200,4,4,2,50000
1500,3,3,2,30000
1700,3,3,4,30000
1700,3,3,4,30000
1200,3,2,6,19000
1250,3,3,9,18000
1970,3,4,4,32000
1075,3,2,5,21600
2550,4,5,1,60000
2200,3,3,1,70000
2048,3,3,1,70000
1800,3,3,2,30000
1200,3,3,6,20000
1200,3,3,6,20000
1300,3,3,4,22000
1800,3,4,4,25000
1800,3,4,4,25000
900,2,2,2,20000
1500,3,3,2,35000
