Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.871294,90.403087,2300,3,3,60000
1,23.876277,90.387987,900,2,2,19000
1,23.871294,90.403087,2142,4,4,60000
1,23.870317,90.385814,1500,3,3,35000
1,23.874777,90.388188,1000,3,2,22000
1,23.822702,90.442058,1250,3,3,19000
1,23.815914,90.432902,1300,3,3,60000
1,23.748156,90.373361,2280,4,3,70000
1,23.7351068,90.3850278,1500,3,3,30000
1,23.815914,90.432902,1300,3,3,60000
1,23.811241,90.433627,1350,3,3,30000
1,23.872612,90.387723,1200,3,3,40000
1,23.79512,90.367211,1500,3,3,18000
1,23.75751,90.424947,1050,3,3,20000
1,23.803256,90.419844,1450,3,3,90000
1,23.837387,90.369139,2200,3,4,40000
1,23.824158,90.371518,2410,4,4,40000
1,23.732074,90.409231,1200,3,2,35000
1,23.806348,90.358725,1300,3,3,19000
1,23.818218,90.427297,3536,4,5,80000
1,23.863289,90.403481,1800,3,3,35000
1,23.815914,90.432902,1400,3,2,22000
1,23.871294,90.403087,1300,3,3,40000
1,23.801189,90.371518,1100,3,3,20000
1,23.863289,90.403481,1700,3,3,40000
1,23.824614,90.432913,750,2,2,17000
1,23.772133,90.356001,1250,3,3,21000
1,23.865458,90.390566,900,2,2,20000
1,23.767656,90.35055,750,2,2,13500
1,23.865458,90.390566,450,1,1,15000
1,23.75751,90.424947,1565,3,3,20000
1,23.795805,90.414203,2650,4,4,108000
1,23.801189,90.371518,550,2,1,13000
1,23.824158,90.371518,1250,3,3,22000
1,23.795834,90.390571,900,3,2,16000
1,23.822702,90.442058,2300,3,4,40000
1,23.797916,90.368299,1550,3,3,30000
1,23.782146,90.423114,1600,3,3,30000
1,23.824158,90.371518,1350,3,3,26000
1,23.818789,90.393137,1250,3,3,20000
1,23.740166,90.375991,3600,4,4,95000
1,23.871732,90.397145,1500,3,3,55000
1,23.761337,90.443881,1600,4,3,30000
1,23.752511,90.381137,1563,3,4,25000
1,23.74182,90.371814,1600,3,3,28000
1,23.810879,90.428081,1750,3,3,35000
1,23.872612,90.387723,1000,3,2,20000
1,23.877235,90.397145,1800,3,4,45000
1,23.797748,90.38279,900,2,2,15000
1,23.876277,90.387987,1480,3,4,70000
1,23.872612,90.387723,1800,3,3,30000
1,23.757692,90.355813,950,2,3,14000
1,23.759029,90.365737,2700,3,3,60000
1,23.763938,90.351616,1050,3,2,13500
1,23.876277,90.387987,1600,4,4,30000
1,23.782145,90.415916,3000,4,4,101000
1,23.876277,90.387987,1975,3,4,60000
1,23.748156,90.373361,1650,3,2,40000
1,23.796691,90.383929,800,2,2,14000
1,23.811952,90.371989,650,2,2,13000
1,23.82005,90.38908,800,2,2,12000
1,23.806348,90.358725,1150,3,2,19000
1,23.737921,90.433325,700,2,1,8500
1,23.877235,90.397145,1800,3,4,45000
1,23.866179409909,90.398411367983,2300,4,3,60000
1,23.796905,90.388464,1050,3,2,18000
1,23.806348,90.358725,1200,3,3,24000
1,23.803256,90.419844,2200,3,4,104000
1,23.811952,90.371989,850,3,2,14000
1,23.806348,90.358725,1300,3,3,25000
1,23.863289,90.403481,1650,3,3,28000
1,23.780624,90.371496,1000,2,2,18000
1,23.866578,90.412105,650,2,2,9500
1,23.74691,90.398656,1800,3,4,35000
1,23.748651,90.403677,1280,3,3,25000
1,23.877235,90.397145,1400,3,3,30000
1,23.795805,90.414203,2300,3,3,103000
1,23.795805,90.414203,2400,3,3,102000
1,23.760748,90.363424,1400,3,3,30000
1,23.815914,90.432902,1300,3,3,60000
1,23.789129,90.366118,800,2,2,13000
1,23.751254,90.42407,3000,6,5,70000
1,23.757692,90.355813,950,2,3,14000
1,23.782145,90.415916,2700,3,3,80000
1,23.803256,90.419844,15000,20,0,1200000
1,23.818789,90.393137,1700,4,3,20000
1,23.815914,90.432902,2100,3,3,40000
1,23.782145,90.415916,3680,3,4,107000
1,23.782145,90.415916,2000,3,3,70000
1,23.798048,90.367562,850,2,2,14000
1,23.782145,90.415916,2400,3,3,55000
1,23.773586469746,90.412798657573,1450,3,3,60000
1,23.815914,90.432902,1300,3,3,40000
1,23.7415812,90.3844492,1360,3,3,32000
1,23.745266,90.418059,1115,3,3,25000
1,23.828046,90.362106,1400,3,3,25000
1,23.824614,90.432913,1400,3,3,28000
1,23.818789,90.393137,1000,3,2,18000
1,23.792158,90.408825,2000,3,3,100000
1,23.7897,90.372253,600,2,1,11000
1,23.739953,90.41422,1240,3,3,25000
1,23.761251,90.365097,700,2,2,16000
1,23.828046,90.362106,1512,4,4,32000
